Date;Borough;Total Shootings
02 Aug 06;BROOKLYN;2
02 Aug 06;MANHATTAN;1
03 Aug 06;BROOKLYN;4
03 Aug 06;QUEENS;1
04 Aug 06;BROOKLYN;1
05 Aug 06;BRONX;3
05 Aug 06;BROOKLYN;2
05 Aug 06;MANHATTAN;1
05 Aug 06;QUEENS;1
05 Aug 06;STATEN ISLAND;1
06 Aug 06;BRONX;2
06 Aug 06;BROOKLYN;3
06 Aug 06;MANHATTAN;2
06 Aug 06;QUEENS;4
07 Aug 06;BROOKLYN;15
07 Aug 06;MANHATTAN;2
07 Aug 06;QUEENS;1
07 Aug 06;STATEN ISLAND;1
08 Aug 06;BRONX;1
08 Aug 06;BROOKLYN;4
08 Aug 06;MANHATTAN;2
08 Aug 06;QUEENS;1
09 Aug 06;BRONX;1
09 Aug 06;BROOKLYN;2
09 Aug 06;QUEENS;3
10 Aug 06;BROOKLYN;2
11 Aug 06;BRONX;7
11 Aug 06;BROOKLYN;3
11 Aug 06;STATEN ISLAND;1
12 Aug 06;BRONX;1
12 Aug 06;BROOKLYN;9
13 Aug 06;BRONX;7
13 Aug 06;BROOKLYN;3
13 Aug 06;MANHATTAN;3
13 Aug 06;QUEENS;1
14 Aug 06;BROOKLYN;4
14 Aug 06;MANHATTAN;3
15 Aug 06;BRONX;1
15 Aug 06;MANHATTAN;1
15 Aug 06;QUEENS;1
16 Aug 06;BRONX;2
16 Aug 06;BROOKLYN;3
16 Aug 06;MANHATTAN;2
16 Aug 06;QUEENS;1
17 Aug 06;BRONX;3
17 Aug 06;BROOKLYN;1
17 Aug 06;MANHATTAN;2
18 Aug 06;BRONX;1
18 Aug 06;BROOKLYN;6
18 Aug 06;QUEENS;2
19 Aug 06;BRONX;6
19 Aug 06;BROOKLYN;5
20 Aug 06;BRONX;3
20 Aug 06;BROOKLYN;12
20 Aug 06;QUEENS;3
21 Aug 06;BRONX;1
21 Aug 06;BROOKLYN;3
21 Aug 06;QUEENS;3
22 Aug 06;BRONX;4
22 Aug 06;BROOKLYN;1
22 Aug 06;QUEENS;1
23 Aug 06;BRONX;1
23 Aug 06;STATEN ISLAND;1
24 Aug 06;BRONX;1
24 Aug 06;BROOKLYN;1
25 Aug 06;BROOKLYN;7
25 Aug 06;QUEENS;3
26 Aug 06;BRONX;3
26 Aug 06;BROOKLYN;3
26 Aug 06;MANHATTAN;2
27 Aug 06;BRONX;6
27 Aug 06;BROOKLYN;4
27 Aug 06;MANHATTAN;2
27 Aug 06;QUEENS;1
28 Aug 06;BROOKLYN;3
28 Aug 06;MANHATTAN;1
29 Aug 06;BROOKLYN;1
29 Aug 06;QUEENS;1
29 Aug 06;STATEN ISLAND;1
30 Aug 06;BROOKLYN;3
30 Aug 06;MANHATTAN;1
30 Aug 06;QUEENS;1
31 Aug 06;BRONX;1
31 Aug 06;BROOKLYN;9
31 Aug 06;MANHATTAN;1
31 Aug 06;QUEENS;3
01 Sep 06;BROOKLYN;1
02 Sep 06;BRONX;4
02 Sep 06;BROOKLYN;5
03 Sep 06;BRONX;4
04 Sep 06;BRONX;8
04 Sep 06;BROOKLYN;16
04 Sep 06;QUEENS;1
05 Sep 06;BRONX;3
05 Sep 06;BROOKLYN;2
06 Sep 06;BROOKLYN;1
07 Sep 06;BROOKLYN;3
07 Sep 06;QUEENS;2
08 Sep 06;BRONX;4
08 Sep 06;BROOKLYN;2
08 Sep 06;MANHATTAN;3
09 Sep 06;BRONX;2
09 Sep 06;BROOKLYN;2
09 Sep 06;MANHATTAN;2
09 Sep 06;QUEENS;1
10 Sep 06;BRONX;3
10 Sep 06;BROOKLYN;2
10 Sep 06;MANHATTAN;1
10 Sep 06;QUEENS;1
11 Sep 06;BROOKLYN;5
11 Sep 06;QUEENS;1
12 Sep 06;MANHATTAN;1
13 Sep 06;BRONX;3
13 Sep 06;BROOKLYN;2
13 Sep 06;QUEENS;1
14 Sep 06;BRONX;3
14 Sep 06;BROOKLYN;4
14 Sep 06;MANHATTAN;1
15 Sep 06;BROOKLYN;2
15 Sep 06;MANHATTAN;1
16 Sep 06;BRONX;5
16 Sep 06;BROOKLYN;3
16 Sep 06;QUEENS;3
17 Sep 06;BRONX;3
17 Sep 06;BROOKLYN;6
17 Sep 06;MANHATTAN;3
17 Sep 06;QUEENS;2
18 Sep 06;BROOKLYN;4
18 Sep 06;QUEENS;1
19 Sep 06;BRONX;1
19 Sep 06;BROOKLYN;6
20 Sep 06;BRONX;1
20 Sep 06;BROOKLYN;1
20 Sep 06;MANHATTAN;3
21 Sep 06;BRONX;5
21 Sep 06;MANHATTAN;1
22 Sep 06;BRONX;4
22 Sep 06;BROOKLYN;1
22 Sep 06;STATEN ISLAND;1
23 Sep 06;BRONX;5
23 Sep 06;MANHATTAN;1
24 Sep 06;BRONX;3
24 Sep 06;BROOKLYN;1
24 Sep 06;MANHATTAN;2
24 Sep 06;QUEENS;2
25 Sep 06;BROOKLYN;2
25 Sep 06;MANHATTAN;1
25 Sep 06;QUEENS;1
26 Sep 06;BRONX;3
26 Sep 06;MANHATTAN;3
26 Sep 06;QUEENS;1
27 Sep 06;BROOKLYN;2
27 Sep 06;MANHATTAN;1
28 Sep 06;BRONX;2
28 Sep 06;BROOKLYN;1
29 Sep 06;MANHATTAN;4
29 Sep 06;QUEENS;1
30 Sep 06;BRONX;4
30 Sep 06;BROOKLYN;3
30 Sep 06;MANHATTAN;1
30 Sep 06;QUEENS;1
01 Oct 06;BRONX;7
01 Oct 06;MANHATTAN;2
01 Oct 06;QUEENS;4
02 Oct 06;BROOKLYN;5
03 Oct 06;BRONX;2
03 Oct 06;BROOKLYN;2
03 Oct 06;QUEENS;2
04 Oct 06;BRONX;4
04 Oct 06;BROOKLYN;3
04 Oct 06;QUEENS;2
05 Oct 06;BRONX;1
05 Oct 06;BROOKLYN;1
06 Oct 06;BRONX;2
06 Oct 06;BROOKLYN;3
06 Oct 06;QUEENS;2
07 Oct 06;BRONX;2
07 Oct 06;BROOKLYN;3
07 Oct 06;MANHATTAN;1
08 Oct 06;BROOKLYN;2
08 Oct 06;MANHATTAN;2
08 Oct 06;QUEENS;2
09 Oct 06;BRONX;3
09 Oct 06;BROOKLYN;3
09 Oct 06;STATEN ISLAND;13
10 Oct 06;BROOKLYN;1
10 Oct 06;MANHATTAN;2
10 Oct 06;QUEENS;1
11 Oct 06;BRONX;1
11 Oct 06;MANHATTAN;1
12 Oct 06;BRONX;1
12 Oct 06;BROOKLYN;5
13 Oct 06;BROOKLYN;1
13 Oct 06;MANHATTAN;2
13 Oct 06;QUEENS;1
14 Oct 06;BROOKLYN;4
14 Oct 06;MANHATTAN;1
14 Oct 06;QUEENS;3
15 Oct 06;BRONX;2
15 Oct 06;BROOKLYN;2
15 Oct 06;MANHATTAN;2
15 Oct 06;QUEENS;1
16 Oct 06;BRONX;3
16 Oct 06;BROOKLYN;1
16 Oct 06;MANHATTAN;3
17 Oct 06;MANHATTAN;1
18 Oct 06;BRONX;3
18 Oct 06;MANHATTAN;1
19 Oct 06;BRONX;5
19 Oct 06;BROOKLYN;2
20 Oct 06;BRONX;3
20 Oct 06;BROOKLYN;4
20 Oct 06;QUEENS;1
21 Oct 06;MANHATTAN;2
22 Oct 06;BRONX;4
22 Oct 06;BROOKLYN;2
22 Oct 06;QUEENS;3
23 Oct 06;BRONX;1
23 Oct 06;BROOKLYN;3
23 Oct 06;MANHATTAN;4
25 Oct 06;BROOKLYN;4
25 Oct 06;QUEENS;1
26 Oct 06;BROOKLYN;3
27 Oct 06;BROOKLYN;1
27 Oct 06;MANHATTAN;2
27 Oct 06;QUEENS;3
28 Oct 06;BROOKLYN;1
28 Oct 06;MANHATTAN;2
28 Oct 06;QUEENS;1
29 Oct 06;BRONX;3
29 Oct 06;BROOKLYN;4
29 Oct 06;MANHATTAN;2
29 Oct 06;QUEENS;2
30 Oct 06;BRONX;2
30 Oct 06;BROOKLYN;1
30 Oct 06;QUEENS;3
31 Oct 06;BRONX;11
31 Oct 06;BROOKLYN;1
31 Oct 06;QUEENS;2
01 Nov 06;BRONX;2
01 Nov 06;BROOKLYN;1
02 Nov 06;BROOKLYN;2
02 Nov 06;MANHATTAN;1
02 Nov 06;STATEN ISLAND;2
03 Nov 06;BROOKLYN;2
04 Nov 06;BROOKLYN;1
05 Nov 06;BROOKLYN;2
05 Nov 06;MANHATTAN;1
07 Nov 06;QUEENS;2
08 Nov 06;BROOKLYN;2
08 Nov 06;MANHATTAN;1
09 Nov 06;BRONX;4
09 Nov 06;BROOKLYN;1
10 Nov 06;BROOKLYN;1
11 Nov 06;BRONX;5
11 Nov 06;BROOKLYN;2
11 Nov 06;MANHATTAN;1
11 Nov 06;QUEENS;1
12 Nov 06;BRONX;3
12 Nov 06;BROOKLYN;3
12 Nov 06;MANHATTAN;1
12 Nov 06;QUEENS;1
13 Nov 06;BRONX;1
13 Nov 06;BROOKLYN;1
13 Nov 06;QUEENS;1
14 Nov 06;BRONX;1
14 Nov 06;BROOKLYN;1
15 Nov 06;BROOKLYN;8
15 Nov 06;MANHATTAN;6
15 Nov 06;STATEN ISLAND;1
16 Nov 06;BRONX;1
16 Nov 06;BROOKLYN;3
17 Nov 06;BROOKLYN;2
17 Nov 06;QUEENS;2
18 Nov 06;BROOKLYN;2
18 Nov 06;MANHATTAN;6
18 Nov 06;QUEENS;2
19 Nov 06;BRONX;1
19 Nov 06;BROOKLYN;4
19 Nov 06;MANHATTAN;1
19 Nov 06;QUEENS;1
20 Nov 06;BROOKLYN;2
20 Nov 06;QUEENS;3
21 Nov 06;BRONX;2
21 Nov 06;BROOKLYN;1
22 Nov 06;BROOKLYN;10
23 Nov 06;BRONX;2
23 Nov 06;MANHATTAN;9
24 Nov 06;MANHATTAN;1
24 Nov 06;QUEENS;1
25 Nov 06;BRONX;2
25 Nov 06;BROOKLYN;9
25 Nov 06;MANHATTAN;3
25 Nov 06;QUEENS;6
26 Nov 06;BRONX;6
26 Nov 06;BROOKLYN;5
26 Nov 06;MANHATTAN;1
27 Nov 06;BROOKLYN;2
27 Nov 06;QUEENS;2
28 Nov 06;BROOKLYN;2
29 Nov 06;BRONX;2
29 Nov 06;BROOKLYN;1
30 Nov 06;BRONX;4
30 Nov 06;MANHATTAN;1
30 Nov 06;QUEENS;1
30 Nov 06;STATEN ISLAND;2
01 Dec 06;BROOKLYN;4
02 Dec 06;BRONX;2
02 Dec 06;BROOKLYN;3
02 Dec 06;QUEENS;1
03 Dec 06;BRONX;5
03 Dec 06;BROOKLYN;1
